文物采样点,二氧化硅SiO2,氧化钠Na2O,氧化钾K2O,氧化钙CaO,氧化镁MgO,氧化铝Al2O3,氧化铁Fe2O3,氧化铜CuO,氧化铅PbO,氧化钡BaO,五氧化二磷P2O5,氧化锶SrO,氧化锡SnO2,二氧化硫SO2,玻璃类型,情况,situation
32,69.71,0,.21,.46,0,2.36,1,.11,19.76,4.88,.17,0,0,0,铅钡,无风化,0
33,75.51,0,.15,.64,1,2.35,0,.47,16.16,3.55,.13,0,0,0,铅钡,无风化,0
34,35.78,0,.25,.78,0,1.62,.47,1.51,46.55,10,.34,.22,0,0,铅钡,无风化,1
35,65.91,0,0,.38,0,1.44,.17,.16,22.05,5.68,.42,0,0,0,铅钡,无风化,0
36,39.57,2.22,.14,.37,0,1.6,.32,.68,41.61,10.83,.07,.22,0,0,铅钡,无风化,1
37,60.12,0,.23,.89,0,2.72,0,3.01,17.24,10.34,1.46,.31,0,3.66,铅钡,无风化,0
38,32.93,1.38,0,.68,0,2.57,.29,.73,49.31,9.79,.48,.41,0,0,铅钡,风化,1
39,26.25,0,0,1.11,0,.5,0,.88,61.03,7.22,1.16,.61,0,0,铅钡,风化,1
40,16.71,0,0,1.87,0,.45,.19,0,70.21,6.69,1.77,.68,0,0,铅钡,风化,1
41,18.46,0,.44,4.96,2.73,3.33,1.79,.19,44.12,9.76,7.46,.47,0,0,铅钡,风化,1
42未风化点1,51.26,5.74,.15,.79,1.09,3.53,0,2.67,21.88,10.47,.08,.35,0,0,铅钡,无风化,0
42未风化点2,51.33,5.68,.35,0,1.16,5.66,0,2.72,20.12,10.88,0,0,0,0,铅钡,无风化,0
43部位1,12.41,0,0,5.24,.89,2.25,.76,5.35,59.85,7.29,0,.64,0,0,铅钡,风化,1
43部位2,21.7,0,0,6.4,.95,3.41,1.39,1.51,44.75,3.26,12.83,.47,0,0,铅钡,风化,1
44未风化点,60.74,3.06,.2,2.14,0,12.69,.77,.43,13.61,5.22,0,.26,0,0,铅钡,无风化,0
45,61.28,2.66,.11,.84,.74,5,0,.53,15.99,10.96,0,.23,0,0,铅钡,无风化,0
46,55.21,0,.25,0,1.67,4.79,0,.77,25.25,10.06,.2,.43,0,0,铅钡,无风化,0
47,51.54,4.66,.29,.87,.61,3.06,0,.65,25.4,9.23,.1,.85,0,0,铅钡,无风化,0
48,53.33,.8,.32,2.82,1.54,13.65,1.03,0,15.71,7.31,1.1,.25,1.31,0,铅钡,风化,1
49,28.79,0,0,4.58,1.47,5.38,2.74,.7,34.18,6.1,11.1,.46,0,0,铅钡,风化,1
49未风化点,54.61,0,.3,2.08,1.2,6.5,1.27,.45,23.02,4.19,4.32,.3,0,0,铅钡,无风化,0
50,17.98,0,0,3.19,.47,1.87,.33,1.13,44,14.2,6.34,.66,0,0,铅钡,风化,1
50未风化点,45.02,0,0,3.12,.54,4.16,0,.7,30.61,6.22,6.34,.23,0,0,铅钡,无风化,0
51部位1,24.61,0,0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,.39,.47,0,铅钡,风化,1
51部位2,21.35,0,0,5.13,1.45,2.51,.42,.75,51.34,0,8.75,0,0,0,铅钡,风化,1
52,25.74,1.22,0,2.27,.55,1.16,.23,.7,47.42,8.64,5.71,.44,0,0,铅钡,风化,1
53未风化点,63.66,3.04,.11,.78,1.14,6.06,0,.54,13.66,8.99,0,.27,0,0,铅钡,无风化,0
54,22.28,0,.32,3.19,1.28,4.15,0,.83,55.46,7.04,4.24,.88,0,0,铅钡,风化,1
54严重风化点,17.11,0,0,0,1.11,3.65,0,1.34,58.46,0,14.13,1.12,0,0,铅钡,风化,1
55,49.01,2.71,0,1.13,0,1.45,0,.86,32.92,7.95,.35,0,0,0,铅钡,无风化,0
56,29.15,0,0,1.21,0,1.85,0,.79,41.25,15.45,2.54,0,0,0,铅钡,风化,1
57,25.42,0,0,1.31,0,2.18,0,1.16,45.1,17.3,0,0,0,0,铅钡,风化,1
58,30.39,0,.34,3.49,.79,3.52,.86,3.13,39.35,7.66,8.99,.24,0,0,铅钡,风化,1
