制作公司（母）,子分类,游戏名称,游戏译名,发售日,汉化组,汉化进度,备注,DL推荐,官网,其他网址
FULLTIME/TEATIME,TEATIME,恋愛＋H,,2011/5/27,御靈漢化組,漢化完成,,,,
,,,,,,,,,,
Gene X,,ファンタスティックフォーチュン,夢幻奇緣,1998/11/27,大宇資訊,官方中文化,,,,
Gene X,,ファンタスティックフォーチュン2,夢幻奇緣2,2005/12/22,光譜資訊,官方中文化,,,,
Gene X,,エーベルージュ,戀愛物語,1996/7/12,待補,漢化完成,,,,
Gene X,,エーベルージュ スペシャル ～恋と魔法の学園生活～,戀愛物語：魔法學園,1997/9/5,待補,漢化完成,,,,
Gene X,,エーベルージュ2,戀愛物語2,1998/3/6,待補,漢化完成,,,,
富士通株式会社,,ツインズストーリー きみにつたえたくて,孿生物語,1998/9/25,第三波資訊,官方中文化,,,,
,,,,,,,,,,
HERMIT,,FOLKLORE JAM,,2003/10/24,famill漢化組,漢化完成,,,,
HERMIT,,ままらぶ,媽媽LOVE,2004/10/29,丸戶廚同好會,漢化完成,,,,
HERMIT,,世界でいちばんNGな恋,世界上最NG的戀愛,2007/11/22,famille-丸戶廚同好會,漢化完成,,,,
,,,,,,,,,,
hibiki works,,紫電～円環の絆～,紫電～環之羈絆～,2009/11/26,默示遊戲中文化興趣小組,漢化完成,,,,
hibiki works,,LOVELY×CATION,,2011/6/24,個人漢化,漢化完成,,,,
hibiki works,,LOVELY×CATION2,,2013/4/26,個人漢化,漢化完成,,,,
hibiki works,,PRETTY×CATION,,2014/4/24,心願屋漢化組 / 城彩學園漢化組,漢化完成,,,,
hibiki works,,PRETTY×CATION2,,2015/4/24,心願屋漢化組 / 城彩學園漢化組,漢化完成,,,,
hibiki works,,PURELY×CATION,,2016/4/28,心願屋漢化組,漢化完成,,,,
hibiki works,,新妻LOVELY×CATION,,2017/5/26,心願屋漢化組 / 杏花親衛隊 / 里想奈騎士團,漢化完成,,,,
hibiki works,,なちゅらるばけーしょん,Natural Vacation,2017/12/22,心願屋漢化組,漢化完成,,,,
hibiki works,,如月真綾の誘惑,如月真綾的指導,2018/4/27,默示遊戲中文化興趣小組,漢化完成,,,,
,,,,,,,,,,
HOOKSOFT（フックソフト）,,SuGirly Wish,,2011/9/30,塞氏漢化組 / 北見六花後援同好會,漢化中,估計已棄坑,,,
HOOKSOFT（フックソフト）,,Strawberry Nauts -ストロベリーノーツ-,,2011/11/25,>w<after漢化组,漢化完成,,,,
HOOKSOFT（フックソフト）,,LOVELY QUEST,,2012/9/28,北見六花後援同好會,漢化完成,,,,
HOOKSOFT（フックソフト）,,PriministAr -プライミニスター-,,2013/8/30,北見六花後援同好會,漢化中,,,,
HOOKSOFT（フックソフト）,,MeltyMoment -メルティモーメント-,,2014/1/31,Bravo漢化組 x 星網漢化聯合會 x >ω<after漢化組,漢化完成,,,,
HOOKSOFT（フックソフト）,,MeltyMoment ミニファンディスク 葵＆鏡水Ver.,,2014/8/29,待補,待補,,,,
HOOKSOFT（フックソフト）,,MeltyMoment ミニファンディスク すみれ＆千恵美Ver.,,2014/9/26,臉腫漢化組,漢化完成,,,,
HOOKSOFT（フックソフト）,,PriministAr -プライミニスター- MiniFanDisc 枝那森千里＆駒萱野Ver.,,2015/11/27,臉腫漢化組,漢化完成,,,,
HOOKSOFT（フックソフト）,,Eスクールライフ,E School Life,2019/5/31,白井木學園漢化組,漢化中,,,,
HOOKSOFT（フックソフト）,,どっちのｉが好きですか？,你喜歡的是哪個我呢?,2019/11/29,默示漢化組,漢化完成,,,,
SMEE,,フレラバ ～Friend to Lover～,,2013/9/27,城彩學園漢化組 / 給屌絲帶來春天漢化委員會,漢化完成,前者ver1.1，後者ver0.92,,,
SMEE,,フレラバ ?Friend to Lover? ミニファンディスク,,2014/8/15,給屌絲帶來春天漢化委員會,漢化完成,,,,
SMEE,,ピュア×コネクト,純白鏈接 / 與你心相連,2015/5/29,天之聖杯漢化組,漢化完成,,,,
SMEE,,カノジョ＊ステップ,與她心漸進,2016/9/30,他＆她?心漸近漢化組,漢化完成,,,,
SMEE,,Making＊Lovers,,2017/11/24,他＆她?心漸近汉化组,漢化完成,,,,
SMEE,,Making＊Lovers 激イチャアフターストーリー Vol.01,,2018/4/27,他＆她?心漸近汉化组,漢化完成,,,,
SMEE,,Making＊Lovers 激イチャアフターストーリー Vol.02,,2018/6/29,他＆她?心漸近汉化组,漢化完成,,,,
SMEE,,Sugar*Style,,2019/1/25,他＆她?心漸近漢化組 / 彌生月漢化組,漢化完成,,,,
SMEE,,HaremKingdom-ハーレムキングダム-,,2020/2/28,心願屋漢化組 / 他＆她?心漸近漢化組,漢化完成,後者漢化中,,,
,,,,,,,,,,
HULOTTE,,妹のおかげでモテすぎてヤバい。,,2013/11/29,個人漢化,漢化中,,,http://hulotte.jp/product/moteyaba/,
HULOTTE,,嫁探しが捗りすぎてヤバい。,選擇妻子的進展似乎順利過頭,2015/11/27,心願屋漢化組,漢化完成,,,http://hulotte.jp/product/yomeyaba/,
HULOTTE,,神頼みしすぎて俺の未来がヤバい。,求神太多我的未來糟糕了,2017/3/24,糟糟團,漢化完成,,,http://hulotte.jp/product/kamiyaba/,
HULOTTE,,出会って5分は俺のもの！　時間停止と不可避な運命,5分鐘的邂逅！時間停止與不可避免的命運,2018/10/26,個人漢化 / 黙示漢化組,漢化完成,,,http://hulotte.jp/product/atropos/,
HULOTTE,,俺の姿が、透明に!? 不可視の薬と数奇な運命,,2020/3/27,希月學園漢化組,漢化中,,,http://hulotte.jp/product/invisible/,
,,,,,,,,,,
Hearts,,ナツイロココロログ,夏色心跳日誌,2016/5/27,AFrine漢化組 x 蘆宮學園漢化組,漢化中,,,,
Hearts,,ナツイロココロログ～Happy Summer～,夏色心跳日誌 FD,2017/3/24,蘆宮學園漢化組,漢化中,,,,
Hearts,,恋するココロと魔法のコトバ,戀心和魔法誓言,2018/5/25,默示漢化組,漢化中,,,,
,,,,,,,,,,
HARUKAZE,,ノラと皇女と野良猫ハート,野良與皇女與流浪貓之心,2016/2/26,Fruitbat Factory / 心願屋漢化組 / 萌木同好會,官方中文化,官中為全年齡版,https://store.steampowered.com/app/1010600/,,
HARUKAZE,,ノラと皇女と野良猫ハート2 -Nora，Princess，and Crying Cat.-,野良與皇女與流浪貓之心2,2017/10/27,Fruitbat Factory / 綠茶漢化組,官方中文化,官中為全年齡版,https://store.steampowered.com/app/1128260/,,
TOKYOTOON,,マルコと銀河竜,丸子與銀河龍,2020/2/28,HOBIBOX,官方中文化,,https://store.steampowered.com/app/1202540/,,
,,,,,,,,,,
Innocent Grey,,カルタグラ～ツキ狂イノ病～,戀獄～月狂病～,2005/4/28,fv和愉快的伙伴們,漢化完成,,,,
Innocent Grey,,PP -ピアニッシモ- 操リ人形ノ輪舞,,2006/9/29,無名,漢化中,估計已棄坑,,,
Innocent Grey,,和み匣 Innocent Greyファンディスク,和之匣,2007/4/6,FARMER大家族,漢化完成,,,,
Innocent Grey,,殻ノ少女,殼之少女,2008/7/4,virgin in shell&妹乃萌漢化组,漢化完成,,,,
Innocent Grey,,クロウカシス 七憑キノ贄,白雪～七憑之祭～,2009/12/11,杏子御津愛護同好會,漢化完成,,,,
Innocent Grey,,虚ノ少女,虛之少女,2013/2/8,萌你妹漢化組 / 蛋炒飯漢化組,漢化完成,,,,
Innocent Grey,,FLOWERS -Le volume sur printemps-,FLOWERS -春篇-,2014/4/18,JAST USA / 萌你妹漢化組 x 百合會,官方中文化,,https://store.steampowered.com/app/452440/,,
Innocent Grey,,FLOWERS - Le volume sur été -,FLOWERS -夏篇-,2015/4/17,JAST USA / 聖彗星蘭學院 / 萌你妹漢化組 x 百合會,官方中文化,,https://store.steampowered.com/app/858940/,,
Innocent Grey,,FLOWERS -Le volume sur automne-,FLOWERS -秋篇-,2016/5/27,JAST USA / 聖彗星蘭學院,漢化完成,中文化進行中,,,
Noesis,,フリフレ,Free friends,2009/4/3,個人漢化,漢化完成,,,,
Noesis,,CURE GIRL,,2011/5/20,星網漢化聯合會 / 無名,漢化完成,,,,
Noesis,,フリフレ2,,2011/12/22,WRP漢化組,漢化完成,,,,
Noesis,,ラブesエム,Love es M,2013/8/30,心願屋漢化組,漢化完成,,,,
Noesis,,雨恋,,2014/8/8,臉腫漢化組,漢化完成,,,,
,,,,,,,,,,
ILLUSION,ILLUSION,尾行～夜の帰り道,,1999/5/14,待補,漢化完成,,,,
ILLUSION,ILLUSION,DES BLOOD3,慾望之血3,2000/1/14,待補,漢化完成,,,,
ILLUSION,ILLUSION,BRUTISH MINE,永恆的傳說,2000/9/14,待補,漢化完成,,,,
ILLUSION,ILLUSION,リバーシブルフェイス～尾行2～,,2001/1/12,待補,漢化完成,,,,
ILLUSION,ILLUSION,レクイエムハーツ～監禁～,,2001/6/29,待補,漢化完成,,,,
ILLUSION,ILLUSION,Battle Raper,慾望格鬥,2002/4/19,待補,漢化完成,,,,
ILLUSION,ILLUSION,DES BLOOD4～LOST ALONE～,慾望之血4,2002/9/13,待補,漢化完成,,,,
ILLUSION,ILLUSION,DBVR,慾望之血VR,2003/3/28,待補,漢化完成,,,,
ILLUSION,ILLUSION,Sexyビーチ2,性感沙灘2,2003/7/11,待補,漢化完成,,,,
ILLUSION,ILLUSION,尾行3,,2004/1/30,待補,漢化完成,神作,,,
ILLUSION,ILLUSION,A-GA～激動の惑星～,,2004/6/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,人工少女2,,2004/11/26,待補,漢化完成,神作,,,
ILLUSION,ILLUSION,Battle Raper2～THE GAME～,慾望格鬥2,2005/4/22,待補,漢化完成,,,,
ILLUSION,ILLUSION,おっぱいスライダー2,波動少女2,2005/11/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,Sexyビーチ3,性感沙灘3,2006/9/29,待補,漢化完成,,,,
ILLUSION,ILLUSION,すくぅ～るメイト,同校生,2007/5/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,人工少女3,,2007/11/30,待補,漢化完成,神作,,,
ILLUSION,ILLUSION,箱-はこ-,3D箱娘,2008/10/10,待補,漢化完成,,,,
ILLUSION,,すくぅ～るメイト Sweets！,,2009/2/27,3DM漢化組,漢化完成,,,,
ILLUSION,ILLUSION,＠ふぉーむメイト,御宅伴侶,2009/5/29,待補,漢化完成,,,,
ILLUSION,ILLUSION,勇者からは逃げられない！,勇者無懼魔王不要逃,2009/10/2,待補,漢化完成,,,,
ILLUSION,ILLUSION,リアル彼女,真實女友,2010/2/19,待補,漢化完成,,,,
ILLUSION,ILLUSION,すくぅ～るメイト2,同校生2,2010/6/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,SexyビーチZERO,性感沙灘ZERO,2010/10/29,待補,漢化完成,,,,
ILLUSION,ILLUSION,ベストコレクション艶 ～ツヤ～,最佳典藏～艷～,2011/2/10,待補,漢化完成,,,,
ILLUSION,ILLUSION,ベストコレクション淫 ～ミダラ～,最佳典藏～淫～,2011/2/10,待補,漢化完成,,,,
ILLUSION,ILLUSION,ジンコウガクエン,人工學園,2011/6/10,待補,漢化完成,,,,
ILLUSION,ILLUSION,ワケあり！,屋內有鬼!,2011/11/11,待補,漢化完成,,,,
ILLUSION,ILLUSION,ラブガール～魅惑の個人レッスン～,Love girl,2012/2/24,待補,漢化完成,,,,
ILLUSION,ILLUSION,ベストコレクション悶 ～もだえ～,最佳典藏～悶～,2012/3/9,待補,漢化完成,,,,
ILLUSION,ILLUSION,俺が主人公～ナカに入って俺がダす！～,我才是主人公,2012/5/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,ハッピーエンドトリガー,Happy End Trigger,2012/10/12,待補,漢化完成,,,,
ILLUSION,ILLUSION,プレミアムプレイ～ダークネス～,獵影之狼～暗夜～,2013/1/25,待補,漢化完成,,,,
ILLUSION,ILLUSION,プレミアムスタジオPro,獵影之狼Pro,2013/4/19,待補,漢化完成,,,,
ILLUSION,ILLUSION,むすメイク,萌娘育成坊,2013/7/26,待補,漢化完成,,,,
ILLUSION,ILLUSION,リアルプレイ,真實遊戲,2014/3/7,待補,漢化完成,,,,
ILLUSION,,ジンコウガクエン2,人工學園2,2014/6/13,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,ハーレムめいと,後宮伴侶,2014/12/26,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,プレイクラブ,遊戲俱樂部,2015/4/24,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,セクロスフィア ,,2016/4/28,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,ハニーセレクト,Honey Select,2016/9/9,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,プレイホーム,家族崩壞,2017/10/13,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,コイカツ！,戀活!,2018/4/27,ZODGAME漢化組,漢化完成,,,,
ILLUSION,,エモーション?クリエイターズ,慾望工坊,2019/4/26,BAD ASS漢化組,漢化完成,,,,
ILLUSION,,AI＊少女,,2019/10/25,ILLUSION,官方中文化,,https://store.steampowered.com/app/1250650/,,
ILLUSION,,VRカノジョ,VR女友,2017/2/28,ILLUSION,官方中文化,,https://store.steampowered.com/app/751440/,,
ILLUSION,,ハニーセレクト2 リビドー,甜心選擇2,2020/5/29,個人漢化,漢化完成,,,,
,,,,,,,,,,
工画堂スタジオ（KOGADO）,小魔女帕妃系列,リトル?ウィッチ パルフェ ?黒猫印の魔法屋さん? ,小魔女帕妃?黑貓招牌的魔法店?,1999/4/28,大宇資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,小魔女帕妃系列,リトル?ウィッチ レネット ?スワンの涙ラプソディ?,小魔女蕾妮特,1999/9/23,大宇資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,小魔女帕妃系列,ハートフルメモリーズ ?Little Witch Parfait 2?,小魔女帕妃2 真心的回憶,2000/4/21,大宇資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,小魔女帕妃系列,お花畑のフローレ,魔法花園芙蘿蕾,2000/1/28,大宇資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,エンジェリック?コンサート,天使演唱會,2001/1/19,大宇資訊(繁) / 天人互動(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,AS?エンジェリックセレナーデ,AS～天使小夜曲,2002/3/29,光譜資訊(繁) / 北京新天地(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,ASDVD～生まれたばかりのLoveSong～,天使戀曲,2003/9/19,光譜資訊(繁) / 光譜博碩(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,まじかるトワラー?エンジェルラビィ☆傑作選,魔法使天使拉比☆傑作選,2003/3/21,待補,待補,,,,
工画堂スタジオ（KOGADO）,音樂系列,エンジェリック?コンサート～アンコール,天使協奏曲Encore,2004/12/3,光譜信息,官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,シンフォニック＝レイン,交響樂之雨,2004/3/26,Degica / 光譜資訊(繁) / 光譜博碩(簡),官方中文化,,https://store.steampowered.com/app/629650/,,
工画堂スタジオ（KOGADO）,音樂系列,ディアピアニッシモ,精靈協奏曲,2006/8/11,光譜資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,ソルフェージュ,百合二重奏,2007/12/21,松崗科技(繁) / 光譜資訊(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,音樂系列,ソルフェージュ Milk Tea,百合二重奏 外傳：奶茶,待補,待補,待補,,,,
工画堂スタジオ（KOGADO）,音樂系列,スマイル☆シューター～ふぁーすと☆ちけっと～,微笑☆射手 ～First☆ticket～,2011/1/14,待補,待補,,,,
工画堂スタジオ（KOGADO）,藍色天使隊系列,ブルーフロウ,藍色天使隊,2005/3/4,光譜資訊(繁) / 中視網元(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,藍色天使隊系列,ブルーフロウ ファンディスク,藍色天使隊Fan Disc,2005/6/24,光譜資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,藍色天使隊系列,ブルーブラスター,藍色天使隊2,2006/6/30,光譜資訊(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,藍色天使隊系列,ブルーブラスターファンディスク～クロウディア奪還作戦～,藍色天使隊2 Fan Disc ～克勞迪婭奪回作戰～,2006/12/22,待補,待補,,,,
工画堂スタジオ（KOGADO）,發明工坊系列,蒼い海のトリスティア,發明工坊1 重現藍海之督的光芒,2002/7/20,光譜資訊(繁) / 光譜博碩(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,發明工坊系列,蒼い空のネオスフィア,發明工坊2 重現天空之城的榮光,2005/3/25,光譜資訊(繁) / 光譜博碩(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,發明工坊系列,蒼い空のネオスフィア　どきどきアドベンチャーEffective E,發明工坊2 天空之城的冒險之旅Effective E,2005/12/16,松崗科技(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,發明工坊系列,暁のアマネカと蒼い巨神,發明工坊3 蒼之巨神,2008/5/30,松崗科技(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,Other (KOGADO),しあわせ★ミルフィーユ,幸福姐妹花,2001/4/20,天人互動,官方中文化,,,,
工画堂スタジオ（KOGADO）,Other (KOGADO),状況開始っ！,狀況開始！,2005/12/16,光譜資訊,官方中文化,,,,
工画堂スタジオ（KOGADO）,Other (KOGADO),ガジェットトライアル,機甲蘿莉,2006/6/23,英特衛(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,Other (KOGADO),ジオテイル,魔法學院異聞錄,2007/6/29,光譜資訊(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,Other (KOGADO),ケータイ少女,手機少女,2007/3/2,光譜資訊(繁) / 北京娛樂通(簡),官方中文化,,,,
工画堂スタジオ（KOGADO）,,白衣性恋愛症候群,白衣性戀愛症候群：複診,2011/9/29,Degica / 白衣漢化組,官方中文化,,https://store.steampowered.com/app/1023690/,,
工画堂スタジオ（KOGADO）,,白衣性愛情依存症,,2015/4/30,Degica,官方中文化,,https://store.steampowered.com/app/485040/,,
工画堂スタジオ（KOGADO）,,夢現Re:Master,,2019/5/23,Degica,官方中文化,,https://store.steampowered.com/app/1058140,,
工画堂スタジオ（KOGADO）,,夢現Re:After,,2020/4/23,Degica,官方中文化,,https://store.steampowered.com/app/1267260,,
,,,,,,,,,,
KID,Memory off系列,Memories Off,秋之回憶,1999/9/30,智冠科技(繁) / 北京新天地(簡),官方中文化,,,,
KID,Memory off系列,Memories Off 2nd,秋之回憶2nd,2001/9/27,光譜資訊,官方中文化,,,,
KID,Memory off系列,想い出にかわる君 ～メモリーズオフ～,想君：秋之回憶,2002/11/28,光譜資訊,官方中文化,,,,
KID,Memory off系列,Memories Off Duet,秋之回憶2nd～雪螢～,2003/3/27,北京娛樂通,官方中文化,,,,
KID,Memory off系列,Memories Off ～それから～,秋之回憶：從今以後,2004/6/24,光譜資訊,官方中文化,,,,
KID,Memory off系列,Memories Off After Rain,秋之回憶：雨後,2005/1/27,光譜資訊,官方中文化,"Vol.1：2005年1月27日
Vol.2：2005年2月24日
Vol.3：2005年3月31日",,,
KID,Memory off系列,Memories Off #5 とぎれたフィルム,秋之回憶#5：中斷的影片,2005/10/27,光譜資訊(PC) / KIDSFC特創组(PSP) / CNGBA漢化组(PSP),官方中文化,,,,
KID,Memory off系列,Memories Off ～それからagain～,秋之回憶：從今以後 again,2006/3/23,光譜資訊(PC) / CK-GAL中文化小組(PSP),官方中文化,,,,
KID,Memory off系列,Memories Off #5 encore,秋之回憶#5：安可,2007/7/12,光譜資訊(PC) / KIDSFC特創组(PSP),官方中文化,,,,
KID,Memory off系列,Memories Off 6～T-wave～,秋之回憶6～三角波瀾～,2008/8/21,光譜資訊(PC) / 秋之回憶臨時有愛漢化組(PSP),官方中文化,版權由5pb.接手,,,
KID,Memory off系列,Memories Off 6～Next Relation～,,2009/8/27,KFC特創组(PSP),官方中文化,版權由5pb.接手,,,
KID,Memory off系列,Memories Off 7 ゆびきりの記憶,秋之回憶7：打勾勾回憶,2010/7/29,光榮特庫摩(PC) / PSP吧漢化組(PSP),官方中文化,版權由5pb.接手,,,
5pb.,,Memories Off -Innocent Fille-,告別回憶 -無垢少女-,2018/3/29,Gloria Works,官方中文化,,https://store.steampowered.com/app/738510,,
5pb.,,Memories Off -Innocent Fille- for Dearest,告別回憶 -無垢少女- 致最愛的你,2019/3/28,SEGA,官方中文化,,https://store.steampowered.com/app/1200110/,,
5pb.,,Memories Off ゆびきりの記憶 ふたりの風流庵,秋之回憶 勾指起誓的記憶 兩人的風流庵,2011/5/26,KFC漢化組,漢化完成,PSP,,,
KID,Infinity系列,Never7 -the end of Infinity-,時光之鑰 / Never7：無限輪迴的終結,2000/3/23,光譜資訊 / KFC漢化組,官方中文化,,,,
KID,Infinity系列,Ever17 -the out of infinity-,時光的羈絆 / 時空輪迴,2002/8/29,光譜資訊 / 北京娛樂通,官方中文化,,,,
KID,Infinity系列,Remember11 -the age of infinity-,Remember11 時光的記憶,2004/3/18,光譜資訊,官方中文化,,,,
KID,Infinity系列,12RIVEN -the Ψcliminal of integral-,跳躍的時空,2008/3/13,光譜資訊,官方中文化,,,,
KID,Other (KID),夢のつばさ,夢之翼,2000/9/28,北京新天地,官方中文化,,,,
KID,Other (KID),てんたま1st ～ Sunny side,見習天使,2001/1/25,北京娛樂通,官方中文化,,,,
KID,Other (KID),想いのかけら -Close to-,思念的碎片：Close to,2003/7/24,英特衛(繁) / 北京娛樂通(簡) / KIDSFC特創組(簡),官方中文化,KIDSFC特創組為體驗版漢化,,,
KID,Other (KID),Iris ?イリス?,Iris 鳶尾花物語,2003/2/27,北京娛樂通,官方中文化,,,,
KID,Other (KID),夏夢夜話,,2003/8/28,英特衛(繁) / 北京娛樂通(簡),官方中文化,,,,
KID,Other (KID),てんたま～2 wins,見習天使2：雙子星,2004/2/26,北京娛樂通,官方中文化,,,,
KID,Other (KID),Monochrome,見習天使2：黑白色,2004/8/26,英特衛(繁) / 北京娛樂通(簡),官方中文化,,,,
KID,Other (KID),Separate Hearts,散碎的原色,2006/2/23,英特衛(繁) / 北京娛樂通(簡),官方中文化,,,,
KID,Other (KID),We Are*,We Are* 終極生化少女,2006/7/27,北京娛樂通,官方中文化,,,,
KID,Other (KID),龍刻 RYU-KOKU,,2006/9/21,英特衛(繁) / 北京娛樂通(簡),官方中文化,,,,
,,,,,,,,,,
KONAMI,,ときめきメモリアル,純愛手札,1994/5/27,華義國際,官方中文化,1代PC、無印,,,
KONAMI,,ときめきメモリアル ?forever with you?,純愛手札 ?永遠屬於你?,1995/10/13,待補,漢化完成,1代PS,,,
KONAMI,,ときめきメモリアル 4,純愛手札 4,2009/12/3,待補,漢化完成,PSP,,,
,,,,,,,,,,
KAI,,魔女と剣と千の月,魔女與劍與千之月,2017/4/28,心願屋漢化組,漢化完成,,,,
KAI,,青い空のカミュ,青空下的加繆,2019/3/29,天空鴿劇漢化??組,漢化完成,,,,
,,,,,,,,,,
Key,Key,Kanon,雪之少女,1999/6/4,KeyFC漢化組&雪飄工作室,漢化完成,,,,
Key,Key,AIR,千年之夏,2000/9/8,KeyFC漢化組&櫻花飛舞的季節,漢化完成,,,,
Key,Key,CLANNAD－クラナド－,,2004/4/28,"Sekai Project
KeyFC漢化組&光坂高校中文部",官方中文化,,https://store.steampowered.com/app/324160/,,
Key,Key,智代アフター～It’s a Wonderful Life～,智代After ～It'sa Wonderful Life～,2005/11/25,KeyFC漢化組,漢化完成,,,,
Key,Key,planetarian～ちいさなほしのゆめ～,planetarian ～星之夢～,2006/4/28,Visual Art's / KeyFC漢化組,官方中文化,,https://store.steampowered.com/app/623080/,,
Key,Key,Little Busters! (リトルバスターズ！),,2007/7/27,待補,漢化完成,,,,
Key,Key,Little Busters! EX (リトルバスターズ！エクスタシー),,2008/7/25,CK-GAL中文化小組,漢化完成,,,,
Key,Key,Kud Wafter (クドわふたー),,2010/6/25,>w<after漢化組,漢化完成,,,,
Key,Key,Rewrite！,,2011/6/24,ATF漢化組,漢化完成,,,,
Key,Key,Rewrite Harvest festa！,,2012/7/27,ATF漢化組,漢化完成,,,,
Key,Key,Angel Beats！ -1st beat-,,2015/6/26,ATF漢化組,待補,,,,
Key,,Rewrite＋,,2016/7/29,待補,漢化完成,,,,
Key,,Harmonia -ハルモニア-,,2016/9/23,X'moe漢化組,漢化完成,,,,
Key,,Summer Pockets,,2018/6/29,"Visual Arts
楓笛漢化組",漢化完成,中文化進行中,,,
Tactics,Other (Key),ONE～輝く季節へ～,ONE～光輝的季節～,1998/6/26,飛狐軍火 - TForce,漢化完成,,,,
Tactics,Other (Key),MOON.,赤月,1998/8/21,待補,漢化完成,,,,
Etoiles（エトワルズ）,Other (Key),MOON CHILDe,,2005/12/9,無名,漢化中,估計已棄坑,,,
H.I. design office,,HOLY BREAKER！ -THE WITCH BETRAYED BLUE MOON WICCA.-,,2014/12/28,A·T·Field漢化組,漢化完成,,,,
,,,,,,,,,,
Leaf / AQUAPLUS,,雫－しずく－,,1996/6/26,AUGUST中文化委員會,漢化完成,包括2009年重製版,,,
Leaf / AQUAPLUS,,痕,,1996/7/26,無名,部分漢化,Ver0.8；包括2009年重製版,,,
Leaf / AQUAPLUS,,WHITE ALBUM,白色相簿,1998/5/1,待補,待補,請參見2010年重製版,,,
Leaf / AQUAPLUS,,こみっくパーティー,漫畫派對、漫畫同人會,1999/5/28,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,うたわれるもの,傳頌之物、受讚頌者,2002/4/26,SEGA / CK-GAL中文化小組,官方中文化,,,,
Leaf / AQUAPLUS,,天使のいない12月,沒有天使的12月、天使不在的12月,2003/9/26,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,Tears to Tiara,花冠之淚、提亞拉之淚,2005/4/28,AQUAPLUS / 2DJGAME漢化組,官方中文化,,,,
Leaf / AQUAPLUS,,ToHeart2 XRATED,,2005/12/9,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,ToHeart2 AnotherDays,,2008/2/29,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,ToHeart2 ダンジョントラベラーズ,,2011/6/30,待補,漢化完成,,,,
Leaf / AQUAPLUS,,愛佳でいくの!!～Leaf Amusement Soft Vol.5～,,2009/12/18,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,WHITE ALBUM 2～introductory chapter～,白色相簿2～序章～,2010/3/26,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,WHITE ALBUM －綴られる冬の想い出－,白色相簿 ─被點綴的冬之回憶─,2010/6/24,CK-GAL中文化小組,漢化完成,1代重製版,,,
Leaf / AQUAPLUS,,WHITE ALBUM 2～closing chapter～,白色相簿2～終章～,2011/12/22,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,WHITE ALBUM2 ミニアフターストーリー,白色相簿2 Mini After Story,2014/12/25,CK-GAL中文化小組,漢化完成,,,,
Leaf / AQUAPLUS,,うたわれるもの 偽りの仮面,受讚頌者 虛偽的假面,2015/9/24,SEGA / 無名,官方中文化,,https://store.steampowered.com/app/1149550/,,
Leaf / AQUAPLUS,,うたわれるもの 二人の白皇,受讚頌者 二人的白皇,2016/9/8,SEGA / 無名,官方中文化,,https://store.steampowered.com/app/1151440/,,
,,,,,,,,,,
Lump of Sugar（ランプオブシュガー）,,タユタマ -kiss on my deity-,遊魂-kiss on my deity-,2008/7/11,Angelical Beauty漢化組,漢化完成,,,,
